PING luisouti.com (177.55.120.3) 56(84) bytes of data.
64 bytes from 177.55.120.3: icmp_seq=82 ttl=50 time=16.0 ms
64 bytes from 177.55.120.3: icmp_seq=83 ttl=50 time=26.0 ms
64 bytes from 177.55.120.3: icmp_seq=84 ttl=50 time=40.1 ms
64 bytes from 177.55.120.3: icmp_seq=85 ttl=50 time=18.1 ms
64 bytes from 177.55.120.3: icmp_seq=86 ttl=50 time=173 ms
64 bytes from 177.55.120.3: icmp_seq=87 ttl=50 time=49.0 ms
64 bytes from 177.55.120.3: icmp_seq=88 ttl=50 time=19.0 ms
64 bytes from 177.55.120.3: icmp_seq=89 ttl=50 time=48.6 ms
64 bytes from 177.55.120.3: icmp_seq=90 ttl=50 time=17.2 ms
64 bytes from 177.55.120.3: icmp_seq=91 ttl=50 time=22.3 ms
64 bytes from 177.55.120.3: icmp_seq=92 ttl=50 time=72.7 ms
64 bytes from 177.55.120.3: icmp_seq=93 ttl=50 time=21.6 ms
64 bytes from 177.55.120.3: icmp_seq=94 ttl=50 time=15.8 ms
64 bytes from 177.55.120.3: icmp_seq=95 ttl=50 time=61.3 ms
64 bytes from 177.55.120.3: icmp_seq=96 ttl=50 time=21.2 ms
64 bytes from 177.55.120.3: icmp_seq=97 ttl=50 time=15.3 ms
64 bytes from 177.55.120.3: icmp_seq=98 ttl=50 time=16.5 ms
64 bytes from 177.55.120.3: icmp_seq=99 ttl=50 time=15.5 ms
64 bytes from 177.55.120.3: icmp_seq=100 ttl=50 time=14.7 ms
64 bytes from 177.55.120.3: icmp_seq=101 ttl=50 time=42.7 ms
64 bytes from 177.55.120.3: icmp_seq=102 ttl=50 time=15.0 ms
64 bytes from 177.55.120.3: icmp_seq=103 ttl=50 time=15.2 ms
64 bytes from 177.55.120.3: icmp_seq=104 ttl=50 time=24.7 ms
64 bytes from 177.55.120.3: icmp_seq=105 ttl=50 time=42.5 ms
64 bytes from 177.55.120.3: icmp_seq=106 ttl=50 time=36.6 ms
64 bytes from 177.55.120.3: icmp_seq=107 ttl=50 time=29.3 ms
64 bytes from 177.55.120.3: icmp_seq=108 ttl=50 time=26.5 ms
64 bytes from 177.55.120.3: icmp_seq=109 ttl=50 time=38.2 ms
64 bytes from 177.55.120.3: icmp_seq=110 ttl=50 time=16.5 ms
64 bytes from 177.55.120.3: icmp_seq=111 ttl=50 time=30.5 ms
64 bytes from 177.55.120.3: icmp_seq=112 ttl=50 time=23.9 ms
64 bytes from 177.55.120.3: icmp_seq=113 ttl=50 time=15.2 ms
64 bytes from 177.55.120.3: icmp_seq=114 ttl=50 time=17.0 ms
64 bytes from 177.55.120.3: icmp_seq=115 ttl=50 time=36.8 ms
64 bytes from 177.55.120.3: icmp_seq=116 ttl=50 time=15.1 ms
64 bytes from 177.55.120.3: icmp_seq=117 ttl=50 time=16.6 ms
64 bytes from 177.55.120.3: icmp_seq=118 ttl=50 time=40.3 ms
64 bytes from 177.55.120.3: icmp_seq=119 ttl=50 time=17.8 ms
64 bytes from 177.55.120.3: icmp_seq=120 ttl=50 time=26.5 ms
64 bytes from 177.55.120.3: icmp_seq=121 ttl=50 time=57.7 ms
64 bytes from 177.55.120.3: icmp_seq=122 ttl=50 time=16.3 ms
64 bytes from 177.55.120.3: icmp_seq=123 ttl=50 time=162 ms
64 bytes from 177.55.120.3: icmp_seq=124 ttl=50 time=61.7 ms
64 bytes from 177.55.120.3: icmp_seq=125 ttl=50 time=15.7 ms
64 bytes from 177.55.120.3: icmp_seq=126 ttl=50 time=64.1 ms
64 bytes from 177.55.120.3: icmp_seq=127 ttl=50 time=61.0 ms
64 bytes from 177.55.120.3: icmp_seq=128 ttl=50 time=15.1 ms
64 bytes from 177.55.120.3: icmp_seq=129 ttl=50 time=50.5 ms
64 bytes from 177.55.120.3: icmp_seq=130 ttl=50 time=16.9 ms
64 bytes from 177.55.120.3: icmp_seq=131 ttl=50 time=16.8 ms
64 bytes from 177.55.120.3: icmp_seq=132 ttl=50 time=167 ms
64 bytes from 177.55.120.3: icmp_seq=133 ttl=50 time=93.9 ms
64 bytes from 177.55.120.3: icmp_seq=134 ttl=50 time=25.9 ms
64 bytes from 177.55.120.3: icmp_seq=135 ttl=50 time=28.0 ms
64 bytes from 177.55.120.3: icmp_seq=136 ttl=50 time=18.6 ms
64 bytes from 177.55.120.3: icmp_seq=137 ttl=50 time=14.5 ms
64 bytes from 177.55.120.3: icmp_seq=138 ttl=50 time=18.8 ms
64 bytes from 177.55.120.3: icmp_seq=139 ttl=50 time=37.5 ms
64 bytes from 177.55.120.3: icmp_seq=140 ttl=50 time=27.6 ms
64 bytes from 177.55.120.3: icmp_seq=141 ttl=50 time=16.0 ms
64 bytes from 177.55.120.3: icmp_seq=142 ttl=50 time=14.9 ms
64 bytes from 177.55.120.3: icmp_seq=143 ttl=50 time=77.2 ms
64 bytes from 177.55.120.3: icmp_seq=144 ttl=50 time=27.5 ms
64 bytes from 177.55.120.3: icmp_seq=145 ttl=50 time=14.9 ms
64 bytes from 177.55.120.3: icmp_seq=146 ttl=50 time=15.2 ms
64 bytes from 177.55.120.3: icmp_seq=147 ttl=50 time=29.7 ms
64 bytes from 177.55.120.3: icmp_seq=148 ttl=50 time=15.4 ms
64 bytes from 177.55.120.3: icmp_seq=149 ttl=50 time=15.8 ms
64 bytes from 177.55.120.3: icmp_seq=150 ttl=50 time=23.7 ms
64 bytes from 177.55.120.3: icmp_seq=151 ttl=50 time=50.0 ms
64 bytes from 177.55.120.3: icmp_seq=152 ttl=50 time=26.8 ms

--- luisouti.com ping statistics ---
152 packets transmitted, 152 received, 0% packet loss, time 151138ms
rtt min/avg/max/mdev = 14.307/42.565/416.247/49.743 ms
